series,Rating
Succession,8.8
Ted Lasso,8.8
Silo,8.3
Queen Cleopatra,1.0
Queen Charlotte: A Bridgerton Story,7.0
Love & Death,7.6
The Diplomat,8.1
Barry,8.4
The Marvelous Mrs. Maisel,8.7
Citadel,6.2
From,7.7
Yellowjackets,7.9
The Great,8.2
Game of Thrones,9.2
Jury Duty,8.4
Black Knight,6.4
Breaking Bad,9.5
Grey's Anatomy,7.6
The Night Agent,7.5
Bridgerton,7.4
The Rookie,8.0
Beef,8.1
Young Sheldon,7.6
The Last Thing He Told Me,6.7
The Walking Dead,8.1
The Mandalorian,8.7
Yellowstone,8.7
Better Call Saul,8.9
Black Mirror,8.8
The Last of Us,8.8
A Small Light,8.0
The Flash,7.5
Ten Pound Poms,6.8
White House Plumbers,6.7
Sweet Tooth,7.8
"XO, Kitty",6.8
Firefly Lane,7.6
Shameless,8.6
NCIS: Naval Criminal Investigative Service,7.8
Kimetsu no Yaiba,8.7
Fear the Walking Dead,6.8
Law & Order: Special Victims Unit,8.1
9-1-1,7.8
The Blacklist,8.0
Mrs. Davis,7.3
The Boys,8.7
The Office,9.0
Stranger Things,8.7
High Desert,6.5
Dahaad,7.4
It's Always Sunny in Philadelphia,8.8
The Good Doctor,8.0
Supernatural,8.4
The Sopranos,9.2
9-1-1: Lone Star,7.1
Suits,8.4
The Bear,8.4
Rabbit Hole,7.5
Class of '09,6.3
True Detective,8.9
Fatal Attraction,6.0
Modern Family,8.5
Steeltown Murders,7.3
Mayor of Kingstown,8.2
The White Lotus,7.9
Criminal Minds,8.1
The Last Kingdom,8.5
Doctor Who,8.6
Euphoria,8.3
House M.D.,8.7
Shingeki no Kyojin,9.1
Outlander,8.4
Peaky Blinders,8.8
The Big Bang Theory,8.2
Friends,8.9
Bupkis,7.3
Sex Education,8.3
Severance,8.7
Foundation,7.4
Ghosts,7.9
Shrinking,8.0
The Crown,8.6
Rick and Morty,9.1
Titans,7.5
Blue Bloods,7.7
Black Bird,8.1
City on Fire,6.0
Law & Order,7.8
Wednesday,8.1
Star Trek: Picard,7.4
Vikings,8.5
Bones,7.8
S.W.A.T.,7.1
House of the Dragon,8.5
The Wire,9.3
South Park,8.7
True Lies,5.1
1923,8.4
Lost,8.3
Reacher,8.1
